Coordenada X, Coordenada Y, Angulo, Escala
56.864988558352,349.01928734881,-1.5707963267949,0.02647106897679
63.729977116705,348.03857469761,-1.5707963267949,0.02794213795358
70.594965675057,347.05786204642,-1.5707963267949,0.029413206930369
77.45995423341,346.07714939523,-1.5707963267949,0.030884275907159
84.324942791762,345.09643674403,-1.5707963267949,0.032355344883949
91.189931350115,344.11572409284,-1.5707963267949,0.033826413860739
98.054919908467,343.13501144165,-1.5707963267949,0.035297482837529
104.91990846682,342.15429879045,-1.5707963267949,0.036768551814319
111.78489702517,341.17358613926,-1.5707963267949,0.038239620791108
118.64988558352,340.19287348807,-1.5707963267949,0.039710689767898
125.51487414188,339.21216083687,-1.5707963267949,0.041181758744688
132.37986270023,338.23144818568,-1.5707963267949,0.042652827721478
139.24485125858,337.25073553449,-1.5707963267949,0.044123896698267
146.10983981693,336.2700228833,-1.5707963267949,0.045594965675057
152.97482837529,335.2893102321,-1.5707963267949,0.047066034651847
159.83981693364,334.30859758091,-1.5707963267949,0.048537103628637
166.70480549199,333.32788492972,-1.5707963267949,0.050008172605426
173.56979405034,332.34717227852,-1.5707963267949,0.051479241582216
180.43478260869,331.36645962733,-1.5707963267949,0.052950310559006
187.29977116705,330.38574697614,-1.5707963267949,0.054421379535795
194.1647597254,329.40503432494,-1.5707963267949,0.055892448512585
201.02974828375,328.42432167375,-1.5707963267949,0.057363517489375
207.8947368421,327.44360902256,-1.5707963267949,0.058834586466165
214.75972540045,326.46289637136,-1.5707963267949,0.060305655442954
221.62471395881,325.48218372017,-1.5707963267949,0.061776724419744
228.48970251716,324.50147106898,-1.5707963267949,0.063247793396534
235.35469107551,323.52075841778,-1.5707963267949,0.064718862373323
242.21967963386,322.54004576659,-1.5707963267949,0.066189931350113
249.08466819221,321.5593331154,-1.5707963267949,0.067661000326903
255.94965675057,320.5786204642,-1.5707963267949,0.069132069303693
262.81464530892,319.59790781301,-1.5707963267949,0.070603138280482
269.67963386727,318.61719516182,-1.5707963267949,0.072074207257272
276.54462242562,317.63648251063,-1.5707963267949,0.073545276234062
283.40961098397,316.65576985943,-1.5707963267949,0.075016345210851
290.27459954233,315.67505720824,-1.5707963267949,0.076487414187641
297.13958810068,314.69434455705,-1.5707963267949,0.077958483164431
304.00457665903,313.71363190585,-1.5707963267949,0.079429552141221
310.86956521738,312.73291925466,-1.5707963267949,0.08090062111801
317.73455377573,311.75220660347,-1.5707963267949,0.0823716900948
324.59954233409,310.77149395227,-1.5707963267949,0.08384275907159
331.46453089244,309.79078130108,-1.5707963267949,0.085313828048379
338.32951945079,308.81006864989,-1.5707963267949,0.086784897025169
345.19450800914,307.82935599869,-1.5707963267949,0.088255966001959
352.0594965675,306.8486433475,-1.5707963267949,0.089727034978749
358.92448512585,305.86793069631,-1.5707963267949,0.091198103955539
365.7894736842,304.88721804511,-1.5707963267949,0.092669172932329
372.65446224256,303.90650539392,-1.5707963267949,0.09414024190912
379.51945080091,302.92579274273,-1.5707963267949,0.09561131088591
386.38443935927,301.94508009153,-1.5707963267949,0.0970823798627
393.24942791762,300.96436744034,-1.5707963267949,0.09855344883949
400,300,-1.5707963267949,0.1
400,300,-1.5707963267949,0.1
400,300,-1.5707963267949,0.1
400,300,-1.5707963267949,0.1
400,300,-1.5707963267949,0.1
400,300,-1.5707963267949,0.1
400,300,-1.5707963267949,0.1
400,300,-1.5707963267949,0.1
400,300,-1.5707963267949,0.1
400,300,-1.5707963267949,0.1
400,300,-1.5707963267949,0.1
400,300,-1.5707963267949,0.1
400,300,-1.5707963267949,0.1
400,300,-1.5707963267949,0.1
400,300,-1.5707963267949,0.1
400,300,-1.5707963267949,0.1
400,300,-1.5707963267949,0.1
400,300,-1.5582299561805,0.1
400,300,-1.5205308443375,0.1
400,300,-1.4828317324944,0.1
400,300,-1.4451326206513,0.1
400,300,-1.4074335088082,0.1
400,300,-1.3697343969651,0.1
400,300,-1.3320352851221,0.1
400,300,-1.294336173279,0.1
400,300,-1.2566370614359,0.1
400,300,-1.2189379495928,0.1
400,300,-1.1812388377498,0.1
400,300,-1.1435397259067,0.1
400,300,-1.1058406140636,0.1
400,300,-1.0681415022205,0.1
400,300,-1.0304423903775,0.1
400,300,-0.99274327853438,0.1
400,300,-0.95504416669131,0.1
400,300,-0.91734505484823,0.1
400,300,-0.87964594300515,0.1
400,300,-0.84194683116208,0.1
400,300,-0.804247719319,0.1
400,300,-0.76654860747593,0.1
400,300,-0.72884949563285,0.1
400,300,-0.69115038378978,0.1
400,300,-0.6534512719467,0.1
400,300,-0.61575216010363,0.1
400,300,-0.57805304826055,0.1
400,300,-0.54035393641748,0.1
400,300,-0.5026548245744,0.1
400,300,-0.46495571273133,0.1
400,300,-0.42725660088825,0.1
400,300,-0.38955748904517,0.1
400,300,-0.3518583772021,0.1
400,300,-0.31415926535902,0.1
400,300,-0.27646015351595,0.1
400,300,-0.23876104167287,0.1
400,300,-0.2010619298298,0.1
400,300,-0.16336281798672,0.1
400,300,-0.12566370614365,0.1
400,300,-0.087964594300571,0.1
400,300,-0.050265482457496,0.1
400,300,-0.012566370614421,0.1
400,300,0.025132741228655,0.1
400,300,0.062831853071737,0.1
400,300,0.10053096491482,0.1
400,300,0.13823007675791,0.1
400,300,0.175929188601,0.1
400,300,0.21362830044408,0.1
400,300,0.25132741228717,0.1
400,300,0.28902652413025,0.1
400,300,0.32672563597334,0.1
400,300,0.36442474781643,0.1
400,300,0.40212385965951,0.1
400,300,0.4398229715026,0.1
400,300,0.47752208334568,0.1
400,300,0.51522119518877,0.1
