Tempo;Altura;Velocidade;Força do Motor;Força do Contrapeso;Energia do Motor;Potencia do elevador
2,7349046489981;-0,082882882882883;0;2943;4905;0;10
2,9349278750014;-0,082882882882883;0;2943;4905;0;0
2,9388470319973;-0,082882882882883;0;2943;4905;0;0
2,9493963909918;-0,082882882882883;0;2943;4905;0;0
2,9657651960151;-0,082882882882883;0;2943;4905;0;0
2,9835961959907;-0,082882882882883;0;2943;4905;0;0
2,9991895930143;-0,082882882882883;0;2943;4905;0;0
3,0158825560065;-0,082882882882883;0;2943;4905;0;0
3,0322313710058;-0,082882882882883;0;2943;4905;0;0
3,0489487840096;-0,082882882882883;0;2943;4905;0;0
3,0663031460135;-0,082882882882883;0;2943;4905;0;0
3,082799123018;-0,082882882882883;0;2943;4905;0;0
3,0989532009989;-0,082882882882883;0;2943;4905;0;0
3,1164319660165;-0,082882882882883;0;2943;4905;0;0
3,1324659459933;-0,082882882882883;0;2943;4905;0;0
3,1489611910074;-0,082882882882883;0;2943;4905;0;0
3,165999460005;-0,082882882882883;0;2943;4905;0;0
3,182389485999;-0,082882882882883;0;2943;4905;0;0
3,1988767610164;-0,082882882882883;0;2943;4905;0;0
3,2156043610012;-0,082882882882883;0;2943;4905;0;0
3,2341768530023;-0,082882882882883;0;2943;4905;0;0
3,2488783409935;-0,082882882882883;0;2943;4905;0;0
3,2655812430021;-0,082882882882883;0;2943;4905;0;0
3,2822889100062;-0,082882882882883;0;2943;4905;0;0
3,298778286;-0,082882882882883;0;2943;4905;0;0
3,3155750689912;-0,082882882882883;0;2943;4905;0;0
3,3323355799948;-0,082882882882883;0;2943;4905;0;0
3,3491244429897;-0,082882882882883;0;2943;4905;0;0
3,3654508499894;-0,082882882882883;0;2943;4905;0;0
3,3824139859935;-0,082882882882883;0;2943;4905;0;0
3,3989812860091;-0,082882882882883;0;2943;4905;0;0
3,4156094529899;-0,082882882882883;0;2943;4905;0;0
3,4324974589981;-0,082882882882883;0;2943;4905;0;0
3,4496418230119;-0,082882882882883;0;2943;4905;0;0
